,feats,labels
0,1,4
1,2,4
2,3,0
3,4,3
4,5,2
5,6,0
6,7,3
7,8,3
8,9,2
9,10,0
10,11,0
11,13,3
12,17,3
13,18,1
14,19,3
15,20,5
16,21,3
17,23,6
18,25,3
19,26,6
20,31,6
21,32,0
22,33,4
23,35,0
24,36,1
25,37,5
26,38,4
27,40,3
28,41,6
29,45,3
30,48,3
31,49,4
32,50,5
33,51,3
34,52,0
35,54,1
36,55,4
37,56,6
38,57,3
39,58,2
40,60,0
41,61,0
42,62,0
43,63,4
44,64,2
45,65,0
46,66,4
47,68,2
48,69,6
49,70,5
50,72,2
51,73,2
52,74,0
53,75,4
54,76,5
55,77,6
56,78,4
57,79,0
58,82,4
59,83,2
60,84,4
61,85,1
62,86,4
63,87,6
64,88,0
65,89,4
66,91,4
67,92,6
68,93,6
69,94,0
70,95,0
71,97,5
72,98,0
73,99,6
74,100,0
75,101,2
76,102,1
77,107,5
78,108,6
79,110,2
80,112,1
81,113,5
82,114,5
83,115,5
84,116,6
85,117,5
86,118,6
87,120,5
88,121,1
89,122,6
90,123,6
91,124,1
92,125,5
93,126,1
94,127,6
95,128,5
96,129,5
97,130,5
98,131,1
99,133,1
100,134,1
101,135,1
102,138,1
103,140,4
104,141,3
105,142,0
106,143,3
107,144,6
108,145,6
109,146,0
110,147,3
111,149,0
112,151,4
113,152,4
114,154,2
115,155,2
116,157,3
117,158,3
118,159,3
119,161,0
120,162,4
121,163,5
122,164,0
123,166,4
124,167,3
125,168,3
126,169,3
127,170,2
128,171,3
129,172,3
130,173,2
131,175,6
132,176,1
133,179,3
134,181,6
135,183,3
136,184,3
137,186,0
138,187,4
139,188,2
140,191,5
141,192,3
142,193,5
143,195,0
144,196,4
145,199,4
146,201,3
147,202,2
148,203,4
149,204,0
150,205,3
151,206,2
152,208,3
153,209,4
154,210,4
155,211,0
156,212,3
157,213,6
158,214,0
159,215,3
160,216,3
161,218,3
162,219,3
163,221,2
164,222,3
165,224,4
166,225,1
167,226,3
168,228,2
169,235,3
170,236,1
171,238,5
172,239,0
173,240,3
174,241,5
175,242,0
176,243,4
177,245,4
178,248,4
179,250,4
180,252,5
181,254,3
182,256,3
183,259,5
184,260,0
185,261,3
186,262,6
187,263,2
188,264,5
189,265,5
190,266,5
191,267,3
192,268,2
193,270,0
194,271,4
195,272,5
196,273,3
197,274,0
198,277,3
199,278,3
200,279,0
201,280,0
202,284,4
203,285,3
204,286,4
205,287,3
206,288,3
207,289,2
208,290,2
209,291,3
210,292,0
211,293,3
212,294,1
213,295,3
214,299,4
215,300,5
216,302,1
217,303,1
218,304,0
219,305,0
220,306,1
221,307,6
222,308,1
223,309,3
224,311,3
225,312,2
226,314,3
227,317,4
228,318,1
229,319,3
230,320,4
231,321,3
232,322,2
233,323,0
234,324,0
235,325,4
236,326,2
237,329,1
238,331,6
239,332,3
240,333,2
241,334,0
242,336,3
243,338,3
244,339,4
245,340,4
246,341,2
247,342,1
248,344,5
249,349,5
250,350,1
251,351,3
252,354,0
253,356,4
254,360,5
255,361,4
256,365,0
257,366,3
258,369,4
259,372,1
260,373,0
261,374,3
262,375,4
263,376,5
264,377,3
265,378,4
266,379,5
267,380,3
268,382,3
269,383,3
270,384,1
271,385,4
272,387,3
273,388,5
274,389,2
275,390,3
276,391,2
277,393,5
278,394,4
279,395,3
280,399,1
281,401,3
282,402,3
283,404,6
284,405,0
285,407,3
286,408,0
287,409,1
288,410,5
289,412,6
290,413,3
291,414,6
292,415,0
293,416,3
294,417,3
295,418,3
296,419,5
297,420,4
298,421,3
299,422,4
300,423,0
301,424,5
302,427,2
303,429,4
304,430,4
305,432,3
306,433,3
307,434,0
308,435,4
309,436,3
310,437,0
311,438,5
312,440,0
313,441,5
314,442,4
315,443,4
316,444,4
317,445,3
318,447,6
319,448,5
320,451,5
321,452,1
322,453,3
323,454,5
324,455,3
325,456,0
326,457,3
327,459,1
328,460,1
329,461,0
330,462,3
331,463,4
332,465,6
333,467,0
334,468,5
335,469,3
336,470,4
337,471,6
338,473,3
