,feats,labels
0,2,2
1,3,3
2,5,1
3,8,1
4,9,3
5,11,1
6,13,3
7,14,2
8,15,3
9,17,2
10,18,3
11,19,2
12,21,1
13,22,1
14,23,2
15,24,0
16,26,0
17,27,4
18,28,4
19,30,0
20,33,1
21,35,4
22,42,0
23,43,0
24,45,0
25,47,0
26,49,0
27,52,0
28,53,0
29,55,0
30,57,0
31,61,0
32,64,0
33,68,0
34,70,0
35,75,0
36,79,0
37,84,0
38,91,0
39,98,0
40,99,0
41,101,0
42,102,0
43,111,0
44,113,4
45,116,0
46,117,0
47,118,4
48,123,0
49,125,0
50,129,0
51,131,1
52,137,0
53,139,0
54,143,0
55,145,0
56,147,0
57,152,4
58,153,0
59,156,4
60,161,0
61,162,0
62,163,0
63,169,0
64,172,4
65,173,1
66,178,0
67,180,1
68,189,0
69,195,0
70,196,0
71,204,0
72,206,0
73,207,0
74,208,0
75,210,0
76,211,1
77,212,4
78,213,4
79,217,0
80,219,0
81,220,4
82,222,0
83,223,0
84,225,0
85,226,0
86,227,0
87,230,0
88,234,0
89,241,1
90,242,0
91,243,0
92,244,0
93,245,0
94,246,0
95,253,0
96,255,0
97,260,0
98,261,0
99,262,0
100,265,0
101,273,0
102,278,0
103,282,0
104,285,0
105,289,0
106,292,0
107,294,0
108,296,0
109,297,0
110,301,1
111,308,0
112,310,0
113,313,0
114,318,0
115,319,4
116,320,4
117,322,0
118,329,0
119,335,0
120,337,0
121,339,0
122,346,0
123,348,0
124,349,1
125,357,0
126,358,0
127,359,0
128,362,0
129,364,0
130,365,0
131,367,4
132,369,0
133,371,0
134,373,1
135,379,0
136,383,0
137,384,0
138,386,0
139,388,0
140,397,0
141,398,0
142,399,4
143,403,0
144,406,1
145,413,0
146,416,0
147,417,0
148,418,0
149,419,0
150,423,0
151,426,0
152,428,0
153,429,0
154,430,0
155,432,0
156,433,1
157,437,0
158,438,0
159,439,0
160,442,0
161,443,0
162,444,0
163,445,0
164,446,0
165,447,0
166,448,0
167,449,0
168,450,0
169,454,0
170,456,0
171,459,0
172,460,0
173,461,0
174,462,0
175,464,0
176,465,0
177,466,0
178,467,0
179,468,4
180,469,4
181,471,3
182,475,1
183,476,1
184,478,2
185,483,4
186,485,4
187,488,4
188,492,4
189,493,4
190,494,4
191,496,4
192,498,1
193,501,4
194,502,4
195,503,4
196,505,4
197,506,4
198,510,3
199,514,4
200,515,4
201,518,4
202,520,4
203,521,4
204,523,4
205,524,4
206,526,1
207,527,4
208,528,4
209,530,1
210,531,4
211,536,4
212,538,0
213,539,4
214,541,4
215,542,4
216,543,0
217,544,0
218,545,0
219,546,4
220,554,4
221,557,4
222,560,4
223,562,4
224,565,4
225,567,4
226,573,4
227,575,4
228,576,4
229,577,4
230,578,4
231,579,4
232,584,4
233,588,4
234,589,4
235,591,4
236,594,4
237,598,4
238,599,4
239,600,4
240,602,1
241,606,4
242,607,4
243,614,4
244,616,4
245,617,4
246,619,4
247,621,4
248,628,4
249,630,4
250,632,4
251,636,4
252,637,4
253,638,4
