,feats,labels
0,1,2
1,2,3
2,3,1
3,4,1
4,5,1
5,6,2
6,7,1
7,8,2
8,9,3
9,10,1
10,11,0
11,12,0
12,13,0
13,14,0
14,15,4
15,16,1
16,17,1
17,18,4
18,19,0
19,20,0
20,21,0
21,22,0
22,23,0
23,24,0
24,26,0
25,27,0
26,28,0
27,29,0
28,31,0
29,33,0
30,34,0
31,35,0
32,37,0
33,39,0
34,40,0
35,41,0
36,44,0
37,46,0
38,47,0
39,48,0
40,49,0
41,50,0
42,52,0
43,55,0
44,56,4
45,59,0
46,60,0
47,62,0
48,68,0
49,70,0
50,71,0
51,72,0
52,74,0
53,75,0
54,76,4
55,77,0
56,78,0
57,81,0
58,84,4
59,85,1
60,86,0
61,90,0
62,91,0
63,93,0
64,94,0
65,97,0
66,98,0
67,99,0
68,100,4
69,108,0
70,109,0
71,114,0
72,115,1
73,116,0
74,117,0
75,118,0
76,119,0
77,120,0
78,122,0
79,123,0
80,127,0
81,128,0
82,134,0
83,138,0
84,142,0
85,143,0
86,144,0
87,146,0
88,147,0
89,148,4
90,149,0
91,150,0
92,157,0
93,159,0
94,160,0
95,161,0
96,162,0
97,166,0
98,167,0
99,170,0
100,171,0
101,173,0
102,175,1
103,178,0
104,180,0
105,183,0
106,186,4
107,189,0
108,190,4
109,191,1
110,194,0
111,196,0
112,197,0
113,200,1
114,201,0
115,202,0
116,203,0
117,204,0
118,207,0
119,209,0
120,210,0
121,212,0
122,213,0
123,214,0
124,215,1
125,216,2
126,219,4
127,220,4
128,221,4
129,222,4
130,224,4
131,229,4
132,230,4
133,231,4
134,232,4
135,235,4
136,238,4
137,239,4
138,240,4
139,241,1
140,242,4
141,243,4
142,246,4
143,247,0
144,248,0
145,249,0
146,255,4
147,256,4
148,259,4
149,260,4
150,262,4
151,265,4
152,267,4
153,268,4
154,269,4
155,274,4
156,275,4
157,277,4
158,278,4
159,280,4
160,282,4
161,284,1
162,285,4
163,286,4
164,287,4
165,288,4
166,290,4
167,291,4
168,292,4
169,293,4
170,294,4
171,295,4
172,296,4
173,299,4
174,300,4
175,303,4
176,304,4
177,306,4
178,307,4
179,308,4
180,310,4
181,314,4
182,316,4
183,318,4
184,320,4
185,323,4
186,324,4
187,328,1
188,330,4
189,331,4
190,334,4
191,339,4
192,340,4
193,341,4
194,343,4
195,344,4
196,345,1
197,346,4
198,347,4
199,348,1
200,351,4
201,352,4
202,353,4
203,354,4
204,355,4
205,356,0
206,358,4
207,359,4
208,360,4
209,361,4
210,362,4
211,364,4
212,365,4
213,366,4
214,367,4
215,368,4
216,369,4
217,370,4
218,372,4
219,373,4
220,377,4
221,378,4
222,379,4
223,380,4
224,381,1
225,382,4
226,383,4
227,384,1
228,385,4
229,386,4
230,387,4
231,388,4
232,389,4
233,390,1
234,391,4
235,393,0
236,394,4
237,395,1
238,396,4
239,397,4
240,398,4
241,401,4
242,402,4
243,403,4
244,404,4
245,405,4
246,406,4
247,407,1
248,408,1
249,409,0
250,410,1
251,412,0
252,413,1
253,414,1
254,416,1
255,417,1
256,418,1
257,419,0
258,421,1
259,425,1
260,427,1
261,431,1
262,432,1
263,433,1
264,435,1
265,436,1
266,437,1
267,438,1
268,439,1
269,443,1
270,445,1
271,447,1
272,448,1
273,450,1
274,451,1
275,452,1
276,453,1
277,454,1
278,455,1
279,456,1
280,457,1
281,458,1
282,459,1
283,461,1
284,462,1
285,463,1
286,464,4
287,465,1
288,467,1
289,468,1
290,470,1
291,471,0
292,472,1
293,473,1
294,475,1
295,481,1
296,482,0
297,484,1
298,485,1
299,486,1
300,488,1
301,489,1
302,490,1
303,491,1
304,493,1
305,495,1
306,497,1
307,498,1
308,499,1
309,501,1
310,502,1
311,504,1
312,505,4
313,507,1
314,508,1
315,509,1
316,511,1
317,513,0
318,515,1
319,517,1
320,518,1
321,519,1
