,feats_og,labels,feats
0,3,3,2
1,8,1,4
2,14,2,6
3,17,2,8
4,21,1,10
5,26,0,12
6,30,0,13
7,35,4,15
8,43,0,19
9,47,0,21
10,61,0,27
11,64,0,29
12,68,0,31
13,76,0,35
14,79,0,37
15,83,0,39
16,84,0,40
17,98,0,48
18,101,0,50
19,109,0,52
20,117,0,55
21,118,4,56
22,129,0,62
23,137,0,68
24,139,0,70
25,145,0,72
26,156,4,76
27,162,0,78
28,169,0,81
29,172,4,84
30,173,1,85
31,189,0,90
32,194,0,93
33,196,0,94
34,208,0,98
35,210,0,99
36,213,4,100
37,233,0,108
38,234,0,109
39,241,1,115
40,242,0,116
41,243,0,117
42,244,0,118
43,245,0,119
44,246,0,120
45,248,0,122
46,264,0,127
47,265,0,128
48,273,0,134
49,289,0,142
50,296,0,144
51,313,0,146
52,318,0,147
53,319,4,148
54,321,0,149
55,337,0,157
56,348,0,161
57,357,0,166
58,358,0,167
59,364,0,170
60,369,0,171
61,371,0,173
62,373,1,175
63,379,0,178
64,384,0,180
65,399,4,186
66,406,1,191
67,417,0,196
68,433,1,200
69,437,0,201
70,439,0,202
71,441,0,203
72,456,0,207
73,460,0,209
74,461,0,210
75,464,0,212
76,465,0,213
77,466,0,214
78,476,1,215
79,478,2,216
80,483,4,219
81,485,4,220
82,488,4,222
83,494,4,224
84,501,4,229
85,503,4,230
86,508,4,232
87,515,4,235
88,521,4,238
89,523,4,240
90,526,1,241
91,527,4,242
92,528,4,243
93,536,4,246
94,538,0,247
95,543,0,248
96,545,0,249
97,554,4,255
98,557,4,256
99,560,4,259
100,567,4,262
101,576,4,267
102,577,4,268
103,579,4,269
104,584,4,274
105,588,4,277
106,594,4,278
107,596,4,280
108,602,1,284
109,606,4,286
110,616,4,292
111,619,4,293
112,621,4,295
113,630,4,299
114,632,4,300
115,639,4,304
116,644,4,306
117,645,4,307
118,671,4,316
119,674,4,318
120,678,4,320
121,702,4,324
122,712,1,328
123,714,4,330
124,715,4,331
125,722,4,334
126,735,4,339
127,739,4,340
128,746,4,343
129,758,4,346
130,763,1,348
131,772,4,351
132,773,4,352
133,778,4,353
134,787,4,354
135,793,0,356
136,795,4,358
137,803,4,360
138,806,4,361
139,808,4,362
140,815,4,365
141,817,4,366
142,831,4,369
143,836,4,370
144,839,4,372
145,847,4,377
146,853,4,379
147,854,4,380
148,856,1,381
149,857,4,382
150,864,1,384
151,866,4,385
152,867,4,386
153,869,4,387
154,871,4,388
155,873,1,390
156,874,4,391
157,877,0,393
158,879,4,394
159,880,1,395
160,885,4,396
161,891,4,398
162,904,4,405
163,905,4,406
164,911,1,408
165,912,0,409
166,913,1,410
167,925,1,413
168,927,1,414
169,929,1,416
170,932,1,417
171,933,1,418
172,934,0,419
173,950,1,425
174,954,1,427
175,960,1,428
176,970,1,432
177,982,1,436
178,984,1,437
179,985,1,438
180,987,1,439
181,992,1,443
182,1001,1,445
183,1011,1,447
184,1014,1,448
185,1017,1,450
186,1019,1,452
187,1021,1,453
188,1022,1,454
189,1030,1,457
190,1031,1,458
191,1037,1,459
192,1042,1,462
193,1043,1,463
194,1049,1,468
195,1051,1,470
196,1057,0,471
197,1058,1,472
198,1062,1,473
199,1064,1,475
200,1077,0,482
201,1082,1,484
202,1083,1,485
203,1084,1,486
204,1086,1,488
205,1088,1,489
206,1090,1,490
207,1095,1,493
208,1105,1,498
209,1106,1,499
210,1108,1,501
211,1110,1,502
212,1115,1,507
213,1117,1,508
214,1122,1,511
215,1125,0,513
216,1128,1,515
217,1142,1,518
218,1145,1,519
219,1146,1,520
220,1147,1,521
221,1150,1,523
222,1151,1,524
223,1154,1,525
224,1155,1,526
225,1159,1,527
226,1165,1,529
227,1173,4,533
228,1174,1,534
229,1175,1,535
230,1178,1,537
231,1180,1,538
232,1182,1,539
233,1189,1,542
234,1196,1,545
235,1198,1,546
236,1203,1,549
237,1211,1,553
238,1214,1,556
239,1223,1,562
240,1227,4,563
241,1230,0,566
242,1232,4,567
243,1236,4,568
244,1241,4,569
245,1244,4,570
246,1246,1,571
247,1247,4,572
248,1248,4,573
249,1250,4,574
250,1255,3,575
251,1256,2,576
252,1260,4,578
253,1262,4,579
254,1273,2,583
255,1277,2,586
256,1280,2,589
257,1286,2,591
258,1287,3,592
259,1296,3,594
260,1297,2,595
261,1299,3,597
262,1301,3,598
263,1304,2,599
264,1313,3,604
265,1314,3,605
266,1320,2,607
267,1323,3,608
268,1324,4,609
269,1328,3,610
270,1329,3,611
271,1333,2,615
272,1337,2,616
273,1340,1,617
274,1341,3,618
275,1345,1,620
276,1348,1,622
277,1349,3,623
278,1351,3,625
279,1356,2,626
280,1359,2,629
281,1367,2,632
282,1369,2,633
283,1370,2,634
284,1383,2,639
285,1387,2,642
286,1392,2,644
287,1400,2,648
288,1402,2,649
289,1403,2,650
290,1416,2,659
291,1424,2,662
292,1442,2,670
293,1452,2,676
294,1455,2,678
295,1480,3,692
296,1484,3,696
297,1508,2,710
298,1516,2,712
299,1519,2,713
300,1520,2,714
301,1524,2,717
302,1532,2,721
303,1534,2,723
304,1542,2,726
305,1547,2,729
306,1549,2,730
307,1556,2,735
308,1561,2,737
309,1564,2,739
310,1569,2,741
311,1582,2,747
312,1593,2,752
313,1597,2,754
314,1608,2,762
315,1610,2,763
316,1617,2,766
317,1622,2,769
318,1633,2,776
319,1646,2,780
320,1648,2,781
321,1653,2,784
322,1676,2,795
323,1681,2,799
324,1685,2,801
325,1686,3,802
326,1689,3,804
327,1692,3,805
328,1694,3,806
329,1697,3,807
330,1704,3,809
331,1717,3,815
332,1720,3,816
333,1722,3,817
334,1730,3,822
335,1732,3,823
336,1733,3,824
337,1747,3,831
338,1749,3,832
339,1752,3,835
340,1753,3,836
341,1754,3,837
342,1755,3,838
343,1757,3,840
344,1761,3,843
345,1763,3,844
346,1765,3,845
347,1771,3,848
348,1781,3,851
349,1782,3,852
350,1792,3,857
351,1804,3,861
352,1805,3,862
353,1812,3,865
354,1814,3,867
355,1816,3,868
356,1820,3,870
357,1827,2,872
358,1829,3,873
359,1833,3,875
360,1836,3,876
361,1841,3,879
362,1849,3,883
363,1852,3,884
364,1855,3,886
365,1863,3,888
366,1867,3,889
367,1869,3,890
368,1870,2,891
369,1872,3,893
370,1874,3,894
371,1877,3,896
372,1880,3,897
373,1881,3,898
374,1882,3,899
375,1886,2,900
376,1894,3,905
377,1896,3,906
378,1897,3,907
379,1898,3,908
380,1901,3,910
381,1905,3,912
382,1911,3,915
383,1918,3,918
384,1928,3,923
385,1930,3,925
386,1932,3,926
387,1933,3,927
388,1938,3,931
389,1940,3,933
390,1941,3,934
391,1942,3,935
392,1946,3,937
393,1948,3,938
394,1954,3,939
395,1955,3,940
396,1960,3,942
397,1961,3,943
398,1962,3,944
399,1965,3,946
400,1973,4,951
401,1976,1,953
402,1977,1,954
403,1978,1,955
404,1980,1,956
405,1982,4,957
406,1988,1,961
407,1990,1,963
408,1993,4,965
409,1997,4,967
410,2000,2,968
411,2001,3,969
412,2002,1,970
413,2003,2,971
414,2005,3,973
415,2007,0,974
416,2008,1,975
417,2014,1,977
418,2023,3,981
419,2026,3,984
420,2031,1,986
421,2035,2,990
422,2038,2,992
423,2044,2,993
424,2051,2,996
425,2056,3,998
426,2060,1,1000
427,2063,3,1001
428,2065,1,1002
429,2066,1,1003
430,2070,0,1004
431,2074,3,1005
432,2075,2,1006
433,2078,0,1007
434,2079,0,1008
435,2080,0,1009
436,2082,0,1011
437,2085,0,1012
438,2087,4,1014
439,2089,4,1015
440,2093,4,1016
441,2095,1,1017
442,2100,3,1018
443,2101,3,1019
444,2105,0,1021
445,2122,3,1024
446,2123,3,1025
447,2127,3,1027
448,2128,3,1028
449,2130,0,1030
450,2143,0,1031
451,2145,0,1032
452,2146,0,1033
453,2147,0,1034
454,2149,1,1036
455,2156,0,1040
456,2159,4,1043
457,2160,1,1044
458,2162,1,1045
459,2164,0,1047
460,2171,2,1052
461,2174,2,1053
462,2179,4,1056
463,2183,0,1058
464,2184,0,1059
465,2185,2,1060
466,2189,1,1061
467,2193,3,1063
468,2195,1,1065
469,2197,1,1067
470,2200,1,1068
471,2202,3,1069
472,2211,0,1071
473,2212,0,1072
474,2213,0,1073
475,2216,0,1076
476,2224,0,1079
477,2233,3,1080
478,2234,3,1081
479,2235,3,1082
480,2236,3,1083
481,2240,2,1085
482,2251,4,1087
483,2252,4,1088
484,2253,2,1089
485,2258,0,1091
486,2259,0,1092
487,2262,0,1095
488,2266,2,1098
489,2269,1,1099
490,2271,1,1100
491,2275,1,1102
492,2277,3,1103
493,2278,3,1104
494,2280,4,1105
495,2281,1,1106
496,2282,4,1107
