,feats,labels
0,1,2
1,2,3
2,3,1
3,4,1
4,6,2
5,8,2
6,10,1
7,13,0
8,15,4
9,19,0
10,21,0
11,27,0
12,29,0
13,31,0
14,35,0
15,37,0
16,40,0
17,48,0
18,50,0
19,52,0
20,55,0
21,56,4
22,62,0
23,68,0
24,70,0
25,72,0
26,76,4
27,78,0
28,81,0
29,84,4
30,85,1
31,90,0
32,93,0
33,94,0
34,98,0
35,99,0
36,100,4
37,109,0
38,115,1
39,116,0
40,117,0
41,118,0
42,119,0
43,120,0
44,122,0
45,127,0
46,128,0
47,134,0
48,142,0
49,144,0
50,146,0
51,147,0
52,148,4
53,157,0
54,161,0
55,166,0
56,167,0
57,170,0
58,171,0
59,173,0
60,175,1
61,178,0
62,180,0
63,186,4
64,190,4
65,191,1
66,194,0
67,196,0
68,200,1
69,201,0
70,202,0
71,207,0
72,209,0
73,210,0
74,212,0
75,213,0
76,214,0
77,215,1
78,216,2
79,219,4
80,220,4
81,222,4
82,224,4
83,229,4
84,230,4
85,235,4
86,238,4
87,239,4
88,240,4
89,241,1
90,242,4
91,243,4
92,246,4
93,247,0
94,248,0
95,249,0
96,255,4
97,256,4
98,259,4
99,262,4
100,265,4
101,267,4
102,268,4
103,269,4
104,274,4
105,277,4
106,278,4
107,280,4
108,282,4
109,284,1
110,286,4
111,292,4
112,293,4
113,295,4
114,299,4
115,300,4
116,304,4
117,307,4
118,310,4
119,316,4
120,318,4
121,320,4
122,324,4
123,328,1
124,331,4
125,334,4
126,339,4
127,340,4
128,343,4
129,346,4
130,348,1
131,351,4
132,353,4
133,354,4
134,356,0
135,358,4
136,360,4
137,361,4
138,362,4
139,365,4
140,366,4
141,369,4
142,372,4
143,373,4
144,377,4
145,378,4
146,379,4
147,380,4
148,381,1
149,382,4
150,384,1
151,385,4
152,386,4
153,387,4
154,388,4
155,390,1
156,391,4
157,394,4
158,395,1
159,396,4
160,398,4
161,402,4
162,405,4
163,406,4
164,408,1
165,409,0
166,410,1
167,413,1
168,414,1
169,416,1
170,417,1
171,418,1
172,419,0
173,425,1
174,427,1
175,432,1
176,436,1
177,437,1
178,439,1
179,443,1
180,445,1
181,447,1
182,448,1
183,450,1
184,452,1
185,453,1
186,454,1
187,457,1
188,458,1
189,459,1
190,462,1
191,463,1
192,468,1
193,470,1
194,471,0
195,472,1
196,473,1
197,475,1
198,482,0
199,484,1
200,485,1
201,486,1
202,488,1
203,489,1
204,490,1
205,493,1
206,498,1
207,499,1
208,501,1
209,502,1
210,507,1
211,508,1
212,511,1
213,513,0
214,515,1
215,518,1
216,519,1
217,520,1
218,523,1
219,524,1
220,525,1
221,527,1
222,529,1
223,533,4
224,534,1
225,535,1
226,537,1
227,538,1
228,539,1
229,542,1
230,545,1
231,546,1
232,549,1
233,552,1
234,553,1
235,556,1
236,562,1
237,563,4
238,564,4
239,566,0
240,567,4
241,568,4
242,569,4
243,570,4
244,571,1
245,573,4
246,574,4
247,575,3
248,576,2
249,578,4
250,579,4
251,583,2
252,586,2
253,589,2
254,591,2
255,592,3
256,594,3
257,595,2
258,597,3
259,598,3
260,599,2
261,602,2
262,604,3
263,605,3
264,607,2
265,608,3
266,609,4
267,610,3
268,611,3
269,615,2
270,616,2
271,617,1
272,620,1
273,622,1
274,623,3
275,624,3
276,625,3
277,626,2
278,627,2
279,629,2
280,632,2
281,633,2
282,634,2
283,639,2
284,642,2
285,644,2
286,648,2
287,649,2
288,650,2
289,654,2
290,657,2
291,659,2
292,665,2
293,676,2
294,678,2
295,692,3
296,696,3
297,710,2
298,712,2
299,713,2
300,714,2
301,721,2
302,723,2
303,724,2
304,726,2
305,729,2
306,730,2
307,737,2
308,739,2
309,741,2
310,747,2
311,752,2
312,753,2
313,754,2
314,762,2
315,766,2
316,769,2
317,776,2
318,780,2
319,781,2
320,782,2
321,784,2
